iter	Passed	Remaining
0	0	70
1	1	69
2	2	65
3	2	59
4	3	58
5	3	58
6	4	57
7	4	57
8	5	57
9	6	56
10	6	56
11	7	56
12	8	56
13	8	55
14	9	54
15	10	53
16	10	52
17	11	51
18	11	50
19	12	49
20	12	48
21	13	48
22	14	47
23	14	46
24	15	46
25	15	45
26	16	44
27	17	44
28	17	43
29	18	42
30	19	42
31	19	41
32	20	41
33	20	40
34	21	40
35	22	39
36	22	38
37	23	38
38	23	37
39	24	37
40	25	36
41	25	35
42	26	34
43	26	34
44	27	33
45	28	33
46	28	32
47	29	31
48	30	31
49	30	30
50	31	30
51	32	29
52	32	29
53	33	28
54	34	27
55	34	27
56	35	26
57	35	26
58	36	25
59	37	24
60	37	24
61	38	23
62	39	23
63	39	22
64	40	21
65	41	21
66	41	20
67	42	19
68	43	19
69	43	18
70	44	18
71	45	17
72	45	16
73	46	16
74	46	15
75	47	15
76	48	14
77	48	13
78	49	13
79	50	12
80	50	11
81	51	11
82	51	10
83	52	10
84	53	9
85	53	8
86	54	8
87	55	7
88	55	6
89	56	6
90	57	5
91	57	5
92	58	4
93	58	3
94	59	3
95	60	2
96	60	1
97	61	1
98	61	0
99	62	0
